ID,Time,Prompt,year,L2type,International,Major,Major_category,Age,L1,citizenship,Gender,Age_of_onset,Years_of_studying_En_numbers,ESL_experience,Eng_immersion,Proficiency_test,Prof_test_comment,RunSpanScore,RunSpanTotal,NC_RT,NCWd_RT,NC_score2,RCNb_RT,RCNd_RT,RC_score2,NC_AC,NCWd_AC,RCNb_AC,RCDd_AC,GK_Score,GM_form_1,VC1_raw,VC1_ESS,R1_raw,R1_ESS,W1_WCPM,W1_intro,W1_body,W1_concl,W1_organi,W1_topic,W1_gramm,W1_voice,W1_word,W1_sentence,W1
11,9/8/2017,Competition,1st,international,yes,Math,"Science, Math, and Technology",19,Hindi,India,Male,1,18,Yes,13,No,,36,58,493.35,688.95,0.396473092,505.5,412.95,-0.183086053,20,20,20,20,23,S,37,593,47,653,41.9,6,5.5,5.5,5.5,6,5.5,5.5,6,5.5,5.5
12,9/8/2017,Competition,1st,international,yes,Computer Science,"Science, Math, and Technology",18,Hindi,India,Female,3,15,Yes,13,Yes,TOEFL Score 105 out of 120.,51,58,602.0769231,628.1111111,0.043240634,572.4166667,555.0588235,-0.030323791,20,20,20,20,19,S,30,568,39,585,30.8,2.5,3.5,2,2.5,2.5,4.5,3.5,4.5,4.5,3
13,9/13/2017,Competition,3rd,international,yes,Accounting,Business,20,Chinese,China,Female,11,9,No,3,Yes,68,18,38,624.5,704.5,0.128102482,414.15,499.55,0.206205481,20,20,20,20,16,S,15,519,28,558,30.1,3.5,3,3,2.5,3,3.5,3.5,3.5,3.5,3
14,9/13/2017,Competition,4th,international,yes,Public Relations,Social Sciences,22,Vietnamese,Vietnam,Female,7,15,Yes,5,Yes,My IELTS score was 7.0.,29,56,669.45,869.05,0.298155202,535.1,556.95,0.040833489,20,20,20,20,18,S,22,546,38,582,41.3,2.5,3.5,2.5,3,2.5,3,3.5,3.5,4,3.5
15,9/13/2017,Competition,1st,international,yes,Applied Linguistics,Arts and Humanities,18,German,dual citizenship: U.S & Germany,Female,1,17,Yes,8,No,,30,41,643.3,790.05,0.228120628,478.5,536.45,0.121107628,20,20,20,20,17,S,27,558,23,545,41.4,1.5,2,1.5,2,1.5,2.5,2.5,3.5,3.5,2
16,9/13/2017,Competition,3rd,international,yes,Political Science,Social Sciences,20,Spanish,Venezuela,Male,17,3,Yes,4,Yes,50,10,27,710.05,1080.555556,0.521802064,613.35,639.15,0.042064074,20,19,20,20,16,S,20,536,22,542,25.6,4.5,4.5,4,4.5,4.5,3.5,3.5,4.5,4,4.5
17,9/15/2017,Competition,3rd,international,yes,Neuroscience,Sciences,21,Spanish,Mexico,Female,4,17,No,3,Yes,TOEFL iBT 104,17,30,816.0625,870.2631579,0.066417288,614.8181818,709.5333333,0.154053921,20,20,20,20,18,S,24,548,41,592,47.1,3.5,4.5,5.5,5.5,4.5,4,5,4.5,4.5,5
18,9/15/2017,Competition,4th,international,yes,Business Economics,Business,21,Russian,Russia,Female,7,14,Yes,4,Yes,n/a,7,27,790.0526316,807.3,0.021830658,555.2,658.45,0.18596902,18,20,20,20,14,S,18,529,24,547,25.4,2.5,2,2,2,2,2.5,2.5,2.5,2.5,2
19,9/15/2017,Competition,2nd,international,yes,Finance,Business,20,Chinese,China,Male,6,14,No,2,No,,29,37,699.7894737,917.2105263,0.310694946,580.5,528.5263158,-0.089532617,19,19,20,20,7,S,13,512,24,547,34.6,2,1,1,1,1,2.5,1.5,2.5,1.5,1
20,9/14/2017,Competition,3rd,international,yes,Sociology,Social Sciences,20,French,France,Female,10,10,No,3,Yes,TOEFL : 590,37,57,671.6,907.45,0.351176295,499.6,499.95,0.00070056,20,20,20,20,17,S,27,558,31,564,36.1,2,3,1,2.5,2,4.5,2.5,3.5,3.5,2.5
21,9/14/2017,Competition,3rd,international,yes,political sciences,Social Sciences,21,French,France,Female,11,10,No,3,Yes,580 (paper-based TOEFL test),17,48,851.3333333,1064.444444,0.250326286,680.3333333,678,-0.003429691,19,20,20,20,19,S,32,574,29,560,41.5,4.5,4.5,4,5,5,4.5,4.5,3.5,4.5,4.5
22,9/15/2017,Competition,2nd,international,yes,Finance,Business,19,Chinese,China,Female,4,15,Yes,2,Yes,60,27,42,762.3,806.9473684,0.058569288,657.85,685.8,0.042486889,20,19,20,20,12,S,12,507,25,550,29.5,2.5,3.5,2.5,2.5,3.5,3,3,3.5,3.5,3
23,9/18/2017,Competition,2nd,international,yes,Actuarial Science,Business,20,Urdu,India,Female,5,15,No,2,Yes,IELTS- 7,45,49,622.35,869.3,0.396802442,407.35,430.15,0.055971523,20,20,20,20,17,S,26,555,19,534,39.9,2,1.5,1,1,1.5,2.5,2,2,2,1
24,9/18/2017,Competition,2nd,Resident/Citizen,no,Biology,"Science, Math, and Technology",19,Urdu,United States of America,Male,2,17,Yes,17,No,,38,51,704.3,735.45,0.044228312,519.7,533.5,0.026553781,20,20,20,20,14,S,31,571,19,534,59.6,2,1.5,1,1,2,2,1.5,1.5,2,1.5
25,9/18/2017,Competition,3rd,international,yes,English,Arts and Humanities,21,Russian,"Russia, Germany",Female,10,11,No,3,No,,9,33,636.5263158,682.85,0.072775757,496.3,494.75,-0.003123111,19,20,20,20,16,S,24,548,31,564,33.1,3.5,3,1.5,2,3,4.5,3.5,3.5,3.5,2.5
26,9/19/2017,Appearance,2nd,international,yes,Marketing,Business,19,Hindi,India,Male,3,16,Yes,16,Yes,100/120,24,41,674.4210526,688.6315789,0.021070704,509.8235294,606.15,0.18894081,20,20,20,20,11,T,30,573,29,560,37.4,2,2.5,1.5,1.5,1,3,2.5,1.5,2.5,1.5
27,9/20/2017,Appearance,1st,international,yes,Computer Science,"Science, Math, and Technology",18,Vietnamese,Vietnam,Male,10,8,No,1,Yes,105 TOEFL,40,59,722.1,930.95,0.289225869,583.65,618.8,0.06022445,20,20,20,20,20,T,20,544,32,567,52,2.5,3,3.5,2.5,3.5,4,4,3.5,4,3
28,"TH, 9/21/2017",Appearance,2nd,international,yes,Business,Business,20,Chinese,China,Female,10,10,No,2,Yes,5.5 in IELTS one year ago,14,40,808.25,959.4,0.18700897,776.9090909,738.2142857,-0.049806091,20,20,20,20,9,T,8,499,18,536,21.9,1,1.5,1,1,1,1.5,1.5,2.5,2.5,1
29,"TH, 9/21/2017",Appearance,2nd,international,yes,mathematics,"Science, Math, and Technology",19,Korean,South Korea,Male,6,13,Yes,12,No,,34,48,,,,,,,,,,,23,T,32,580,44,628,57.8,5,5,1.5,4.5,5,5,5,5,5,5
30,"TH, 9/21/2017",Appearance,1st,international,yes,Computer Science,"Science, Math, and Technology",18,Marathi,India,Male,2,16,Yes,13,Yes,TOEFL- 111,48,60,595.65,608.45,0.02148913,517.25,447.95,-0.133977767,20,20,20,20,20,T,40,611,37,582,32,4,3,3,3.5,4,3.5,3.5,3.5,4.5,3.5
31,"F, 9/22/2017",Appearance,3rd,international,yes,Actuarial Science,Business,18,English,Bermuda,Female,2,16,Yes,18,No,,22,40,692,815.8888889,0.179030186,543.8947368,564.5555556,0.037986797,20,20,20,20,22,T,37,598,40,593,45.8,2.5,3,1,2.5,2.5,4.5,3.5,3.5,3.5,3
32,"F, 9/22/2017",Appearance,2nd,international,yes,Design,Arts and Humanities,20,Korean,Korean,Male,14,6,No,2,No,,28,33,856.75,892.55,0.041785819,625.1666667,668,0.068515063,20,20,20,20,18,T,13,521,23,547,63.6,1,1,1,1,1.5,1.5,1,1.5,1.5,1
33,"M, 9/25/2017",Appearance,1st,international,yes,Biology,"Science, Math, and Technology",18,Gujarati,india,Female,5,13,Yes,15,No,,49,58,875.6,996.6,0.138190955,528.4,528.5,0.000189251,20,20,20,20,17,T,20,544,37,582,34.4,1,2,1,1,2,2,1,1.5,1,1.5
34,"M, 9/25/2017",Appearance,4th,international,yes,Biology,"Science, Math, and Technology",22,Gujarati,India,Female,3,19,Yes,19,No,,49,55,828,1062.75,0.283514493,657.75,654.8,-0.004484987,20,18,20,20,14,T,25,558,28,558,43.8,2.5,3.5,1.5,3.5,2.5,4.5,3.5,3.5,3.5,3.5
35,"M, 9/25/2017",Appearance,1st,international,yes,Actuarial Science,Business,18,Spanish,Venezuela,Male,15,3,Yes,2,Yes,"Toefl, 87",16,38,791.35,891.85,0.126998168,572.05,603.55,0.055065117,20,20,20,20,16,T,21,547,37,582,25.6,4.5,3.5,3.5,4.5,3.5,3,3,3.5,3.5,4
36,"M, 9/25/2017",Appearance,1st,international,yes,Pre-Med,Health and Medicine,18,Arabic,United States,Male,5,13,Yes,13,No,,35,42,657.55,882.6,0.342255342,471.85,485.05,0.027974992,20,20,20,20,24,T,33,583,34,573,72.5,1.5,1.5,1.5,2.5,1.5,3.5,2.5,3.5,2.5,2.5
37,"M, 9/25/2017",Appearance,4th,international,yes,Actuarial Science,Business,23,Chinese,Chinese,Male,12,11,No,4,Yes,6,27,43,742.35,826.6842105,0.113604379,553.8823529,687.25,0.240786958,20,20,20,20,14,T,12,517,21,542,42,2.5,3.5,3.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5
38,"T, 9/26/17",Appearance,1st,international,yes,Neuroscience,Sciences,18,Malayalam,India,Female,3,15,Yes,5,No,,25,34,748.6666667,1125.789474,0.503725922,505.5263158,599.3,0.185497137,20,19,20,20,19,T,26,560,37,582,28.7,3,2.5,1.5,2.5,3,2.5,2.5,3.5,3.5,2.5
39,"W, 9/27/2017",Appearance,1st,international,yes,Economics,Social Sciences,20,Oriya,India,Female,10,10,Yes,1,Yes,90,18,48,705.65,827.3157895,0.172416622,506.65,529.45,0.04500148,20,19,20,20,14,T,21,547,28,558,29.8,2,2,1,2,2,3.5,2.5,2.5,3.5,2
40,"W, 9/27/2017",Appearance,1st,international,yes,Business Management,Business,24,Portuguese,Brazil,Female,6,18,No,1,Yes,IELTS 7.5,9,35,576.25,793.6,0.377180043,455.05,475.4,0.04472036,20,20,20,20,12,T,20,544,24,549,43.6,1.5,2.5,2.5,1.5,2.5,2.5,2.5,2.5,3.5,2.5
